ID,Team,Country,NameF,NameL,Weight,Height,DOB,Hometown,Prov,Pos,Age,HeightFt,HtIn,BMI,
1,Women,Canada,Meghan,Agosta,148,5'7,2/12/87,Ruthven,Ont.,Forward,38,5.58,67.00,23,
2,Women,Canada,Rebecca,Johnston,148,5'9,9/24/89,Sudbury,Ont.,Forward,35,5.75,69.00,22,
3,Women,Canada,Laura,Stacey,156,5'10,5/5/94,Kleinburg,Ont.,Forward,30,5.83,70.00,22,
4,Women,Canada,Jennifer,Wakefield,172,5'10,6/15/89,Pickering,Ont.,Forward,35,5.83,70.00,25,
5,Women,Canada,Jillian,Saulnier,144,5'5,3/7/92,Halifax,N.S.,Forward,33,5.42,65.00,24,
6,Women,Canada,Mélodie,Daoust,159,5'6,1/7/92,Valleyfield,Que.,Forward,33,5.50,66.00,26,
7,Women,Canada,Bailey,Bram,150,5'8,9/5/90,St. Anne,Man.,Forward,34,5.67,68.00,23,
8,Women,Canada,Brianne,Jenner,156,5'9,5/4/91,Oakville,Ont.,Forward,33,5.75,69.00,23,
9,Women,Canada,Sarah,Nurse,140,5'8,1/4/95,Hamilton,Ont.,Forward,30,5.67,68.00,21,
10,Women,Canada,Haley,Irwin,170,5'7,6/6/88,Thunder Bay,Ont.,Forward,36,5.58,67.00,27,
11,Women,Canada,Natalie,Spooner,180,5'10,10/17/90,Scarborough,Ont.,Forward,34,5.83,70.00,26,
12,Women,Canada,Emily,Clark,130,5'7,11/28/95,Saskatoon,Sask.,Forward,29,5.58,67.00,20,
13,Women,Canada,Marie-Philip,Poulin,160,5'7,3/28/91,Beauceville,Que.,Forward,34,5.58,67.00,25,
14,Women,Canada,Blayre,Turnbull,155,5'7,7/15/93,Stellarton,N.S.,Forward,31,5.58,67.00,24,
15,Women,Canada,Jocelyne,Larocque,139,5'6,5/19/88,Ste. Anne,Man.,Defence,36,5.50,66.00,22,
16,Women,Canada,Brigette,Lacquette,180,5'6,10/11/92,Mallard,Man.,Defence,32,5.50,66.00,29,
17,Women,Canada,Lauriane,Rougeau,167,5'8,4/12/90,Beaconsfield,Que.,Defence,35,5.67,68.00,25,
18,Women,Canada,Laura,Fortino,137,5'4,1/30/91,Hamilton,Ont.,Defence,34,5.33,64.00,24,
19,Women,Canada,Meaghan,Mikkelson,139,5'9,1/4/85,St. Albert,Alta.,Defence,40,5.75,69.00,21,
20,Women,Canada,Renata,Fast,144,5'6,10/6/94,Burlington,Ont.,Defence,30,5.50,66.00,23,
21,Women,Canada,Shannon,Szabados,146,5'8,8/6/86,Edmonton,Alta.,Goalie,38,5.67,68.00,22,
22,Women,Canada,Geneviève,Lacasse,136,5'8,5/5/89,Kingston,Ont.,Goalie,35,5.67,68.00,21,
23,Women,Canada,Ann-Renée,Desbiens,160,5'9,4/10/94,La Malbaie,Que.,Goalie,31,5.75,69.00,24,
24,Men,Canada,Gilbert,Brulé,190,5'11,1/1/87,Vancouver,B.C.,Forward,38,5.92,71.00,26,
25,Men,Canada,Wojtek,Wolski,220,6'3,2/24/86,Toronto,Ont.,Forward,39,6.25,75.00,27,
26,Men,Canada,Derek,Roy,187,5'9,5/4/83,Rockland,Ont.,Forward,41,5.75,69.00,28,
27,Men,Canada,Chris,Kelly,194,6'0,11/11/80,Toronto,Ont.,Forward,44,6.00,72.00,26,
28,Men,Canada,Rob,Klinkhammer,214,6'3,8/12/86,Lethbridge,Alta.,Forward,38,6.25,75.00,27,
29,Men,Canada,Brandon,Kozun,170,5'8,3/8/90,Calgary,Alta.,Forward,35,5.67,68.00,26,
30,Men,Canada,Quinton,Howden,190,6'2,1/21/92,Oakbank,Man.,Forward,33,6.17,74.00,24,
31,Men,Canada,René,Bourque,216,6'2,12/10/81,Lac La Biche,Alta.,Forward,43,6.17,74.00,28,
32,Men,Canada,Andrew,Ebbett,176,5'9,1/2/83,Vernon,B.C.,Forward,42,5.75,69.00,26,
33,Men,Canada,Mason,Raymond,179,6'1,9/17/85,Cochrane,Alta.,Forward,39,6.08,73.00,24,
34,Men,Canada,Eric,O’Dell,201,6'1,6/21/90,Ottawa,Ont.,Forward,34,6.08,73.00,27,
35,Men,Canada,Maxim,Lapierre,216,6'0,3/29/85,Brossard,Que.,Forward,40,6.00,72.00,29,
36,Men,Canada,Linden,Vey,190,6'0,7/17/91,Wakaw,Sask.,Forward,33,6.00,72.00,26,
37,Men,Canada,Christian,Thomas,174,5'9,5/26/92,Toronto,Ont.,Forward,32,5.75,69.00,26,
38,Men,Canada,Karl,Stollery,181,5'11,11/21/87,Camrose,Alta.,Defence,37,5.92,71.00,25,
39,Men,Canada,Chris,Lee,187,6'0,10/3/80,MacTier,Ont.,Defence,44,6.00,72.00,25,
40,Men,Canada,Chay,Genoway,170,5'9,12/20/86,Morden,Man.,Defence,38,5.75,69.00,25,
41,Men,Canada,Marc-Andre,Gragnani,205,6'3,3/11/87,L’Île-Bizard,Que.,Defence,38,6.25,75.00,26,
42,Men,Canada,Stefan,Elliott,190,6'1,1/30/91,Vancouver,B.C.,Defence,34,6.08,73.00,25,
43,Men,Canada,Cody,Goloubef,200,6'1,11/30/89,Oakville,Ont.,Defence,35,6.08,73.00,26,
44,Men,Canada,Mat,Robinson,185,5'10,6/20/86,Calgary,Alta.,Defence,38,5.83,70.00,27,
45,Men,Canada,Maxim,Noreau,198,6'0,5/24/87,Montreal,Que.,Defence,37,6.00,72.00,27,
46,Men,Canada,Ben,Scrivens,181,6'2,9/11/86,Spruce Grove,Alta.,Goalie,38,6.17,74.00,23,
47,Men,Canada,Kevin,Poulin,205,6'2,4/12/90,Montreal,Que.,Goalie,35,6.17,74.00,26,
48,Men,Canada,Justin,Peters,210,6'1,8/30/86,Blyth,Ont.,Goalie,38,6.08,73.00,28,
49,Women,USA,Cayla,Barnes,145,5'1,1/7/99,Eastvale,Calif.,Defence,26,5.08,61.00,27,
50,Women,USA,Kacey,Bellamy,145,5'7,4/22/87,Westfield,Mass.,Defence,37,5.58,67.00,23,
51,Women,USA,Hannah,Brandt,150,5'6,11/27/93,Vadnais Heights,Minn.,Forward,31,5.50,66.00,24,
52,Women,USA,Dani,Cameranesi,148,5'5,6/30/95,Plymouth,Minn.,Forward,29,5.42,65.00,25,
53,Women,USA,Kendall,Coyne,123,5'2,5/25/92,Palos Heights,Ill.,Forward,32,5.17,62.00,22,
54,Women,USA,Brianna,Decker,150,5'4,5/13/91,Dousman,Wis.,Forward,33,5.33,64.00,26,
55,Women,USA,Meghan,Duggan,164,5'10,9/3/87,Danvers,Mass.,Forward,37,5.83,70.00,24,
56,Women,USA,Kali,Flanagan,142,5'4,9/19/95,Burlington,Mass.,Defence,29,5.33,64.00,24,
57,Women,USA,Nicole,Hensley,155,5'7,6/23/94,Lakewood,Colo.,Goalie,30,5.58,67.00,24,
58,Women,USA,Megan,Keller,160,5'11,5/1/96,Farmington,Mich.,Defence,28,5.92,71.00,22,
59,Women,USA,Amanda,Kessel,136,5'5,8/28/91,Madison,Wis.,Forward,33,5.42,65.00,23,
60,Women,USA,Hilary,Knight,175,5'11,7/12/89,Sun Valley,Idaho,Forward,35,5.92,71.00,24,
61,Women,USA,Jocelyne,Lamoureux-Davidson,150,5'6,7/3/89,Grand Forks,N.D.,Forward,35,5.50,66.00,24,
62,Women,USA,Monique,Lamoureux-Morando,147,5'6,7/3/89,Grand Forks,N.D.,Forward,35,5.50,66.00,24,
63,Women,USA,Gigi,Marvin,159,5'8,3/7/87,Warroad,Minn.,Forward,38,5.67,68.00,24,
64,Women,USA,Sidney,Morin,140,5'5,6/6/95,Minnetonka,Minn.,Defence,29,5.42,65.00,23,
65,Women,USA,Kelly,Pannek,165,5'8,12/29/95,Plymouth,Minn.,Forward,29,5.67,68.00,25,
66,Women,USA,Amanda,Pelkey,135,5'3,5/29/93,Montpelier,Vt.,Forward,31,5.25,63.00,24,
67,Women,USA,Emily,Pfalzer,125,5'3,6/14/93,Buffalo,N.Y.,Defence,31,5.25,63.00,22,
68,Women,USA,Alex,Rigsby,150,5'7,1/3/92,Delafield,Wis.,Goalie,33,5.58,67.00,23,
69,Women,USA,Maddie,Rooney,145,5'5,7/7/97,Andover,Minn.,Goalie,27,5.42,65.00,24,
70,Women,USA,Haley,Skarupa,140,5'6,1/3/94,Rockville,Md.,Forward,31,5.50,66.00,23,
71,Women,USA,Lee,Stecklein,175,6'0,4/23/94,Roseville,Minn.,Defence,30,6.00,72.00,24,
72,Men,USA,Mark,Arcobello,170,5'8,8/12/88,Milford,Conn.,Forward,36,5.67,68.00,26,
73,Men,USA,Chad,Billins,185,5'10,5/26/89,Marysville,Mich.,Defence,35,5.83,70.00,27,
74,Men,USA,Jonathan,Blum,195,6'1,1/30/89,Ladera Ranch,Calif.,Defence,36,6.08,73.00,26,
75,Men,USA,Will,Borgen,195,6'2,12/19/96,Moorhead,Minn.,Defence,28,6.17,74.00,25,
76,Men,USA,Chris,Bourque,180,5'8,1/29/86,North Reading,Mass.,Forward,39,5.67,68.00,27,
77,Men,USA,Bobby,Butler,189,6'0,4/26/87,Marlborough,Mass.,Forward,37,6.00,72.00,26,
78,Men,USA,Ryan,Donato,196,6'1,4/9/96,Scituate,Mass.,Forward,29,6.08,73.00,26,
79,Men,USA,Matt,Gilroy,200,6'1,7/20/84,Bellmore,N.Y.,Defence,40,6.08,73.00,26,
80,Men,USA,Brian,Gionta,175,5'7,1/18/79,Rochester,N.Y.,Forward,46,5.58,67.00,27,
81,Men,USA,Jordan,Greenway,235,6'5,2/16/97,Canton,N.Y.,Forward,28,6.42,77.00,28,
82,Men,USA,Ryan,Gunderson,170,5'9,8/16/85,Bensalem,Pa.,Defence,39,5.75,69.00,25,
83,Men,USA,Chad,Kolarik,185,5'11,1/26/86,Abington,Pa.,Forward,39,5.92,71.00,26,
84,Men,USA,David,Leggio,185,6'0,7/31/84,Buffalo,N.Y.,Goalie,40,6.00,72.00,25,
85,Men,USA,Broc,Little,170,5'9,3/24/88,Rindge,N.H.,Forward,37,5.75,69.00,25,
86,Men,USA,Brandon,Maxwell,196,6'1,3/22/91,Winter Park,Fla.,Goalie,34,6.08,73.00,26,
87,Men,USA,John,McCarthy,195,6'1,8/9/86,Boston,Mass.,Forward,38,6.08,73.00,26,
88,Men,USA,Brian,O'Neill,174,5'9,6/1/88,Yardley,Pa.,Forward,36,5.75,69.00,26,
89,Men,USA,Garrett,Roe,178,5'9,2/22/88,Vienna,Va.,Forward,37,5.75,69.00,26,
90,Men,USA,Bobby,Sanguinetti,190,6'2,2/29/88,Wilmington,N.C.,Defence,37,6.17,74.00,24,
91,Men,USA,Jim,Slater,200,6'0,12/9/82,Lapeer,Mich.,Forward,42,6.00,72.00,27,
92,Men,USA,Ryan,Stoa,210,6'3,4/13/87,Bloomington,Minn.,Forward,38,6.25,75.00,26,
93,Men,USA,Troy,Terry,179,6'0,9/10/97,Highlands Ranch,Colo.,Forward,27,6.00,72.00,24,
94,Men,USA,Noah,Welch,215,6'4,8/26/82,Brighton,Mass.,Defence,42,6.33,76.00,26,
95,Men,USA,James,Wisniewski,205,6'0,2/21/84,Canton,Mich.,Defence,41,6.00,72.00,28,
96,Men,USA,Ryan,Zapolski,203,6'0,11/11/86,Erie,Pa.,Goalie,38,6.00,72.00,28,